Mortality,Health.Spending
0.001,30000
0.008,30000
0.0088,30000
0.0097,30000
0.011,30000
0.0123,30000
0.014,30000
0.0156,30000
0.0184,30000
0.0173,30000
0.0203,30000
0.0221,30000
0.0241,30000
0.0277,30000
0.0315,30000
0.0365,30000
0.0421,30000
0.0482,30000
0.0545,30000
0.0621,30000
0.0694,30000
0.0785,30200
0.0939,30500
0.1137,30600
0.1326,30600
0.1577,31000
0.1897,31400
0.2269,32300
0.2697,33300
0.3186,34300
0.3718,35600
0.4259,37700
0.4502,38500
0.4848,40100
0.5253,42700
0.5485,44200
0.3453,35100
0.5834,45800
0.6054,47000
0.6206,48400
0.6361,49600
0.652,50900
0.6724,52500
0.7064,54100
0.7241,56100
0.7468,58300
0.775,59600
0.7943,61100
0.8192,63100
0.8345,64800
0.8607,66700
0.8877,68100
